method,n_seeds,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,auroc_macro_mean,auroc_macro_std,tpr_at_1_fpr_macro_mean,tpr_at_1_fpr_macro_std,f1_class_0_mean,f1_class_0_std,tpr_at_1_fpr_class_0_mean,tpr_at_1_fpr_class_0_std,f1_class_1_mean,f1_class_1_std,tpr_at_1_fpr_class_1_mean,tpr_at_1_fpr_class_1_std,f1_class_2_mean,f1_class_2_std,tpr_at_1_fpr_class_2_mean,tpr_at_1_fpr_class_2_std,f1_class_3_mean,f1_class_3_std,tpr_at_1_fpr_class_3_mean,tpr_at_1_fpr_class_3_std,creator_retention_mse_mean,creator_retention_mse_std,creator_retention_pearson_mean,creator_retention_pearson_std,creator_retention_spearman_mean,creator_retention_spearman_std,lexical_mse_mean,lexical_mse_std,lexical_pearson_mean,lexical_pearson_std,lexical_spearman_mean,lexical_spearman_std,lexical_auroc_mean,lexical_auroc_std,lexical_tpr_at_1pct_fpr_mean,lexical_tpr_at_1pct_fpr_std,humanization_mse_mean,humanization_mse_std,humanization_pearson_mean,humanization_pearson_std,humanization_spearman_mean,humanization_spearman_std,humanization_auroc_mean,humanization_auroc_std,humanization_tpr_at_1pct_fpr_mean,humanization_tpr_at_1pct_fpr_std
RACE,3,0.940625,0.004086467759569409,0.910814749868224,0.003686626512261018,0.9844637969168397,0.000999721152920704,0.7975220062031646,0.016029840085588845,0.9808813751737788,0.002098384282971608,0.9920833333333333,0.0028867513459481316,0.9235529647294354,0.006249321303307963,0.80875,0.05254462389245923,0.9460228452646716,0.0060256387051610665,0.6401137980085349,0.009957325746799417,0.7928018143050103,0.010478078387394714,0.7491408934707904,0.0029760323154104313,,,,,,,,,,,,,,,,,,,,,,,,,,
RACE+Editor,3,0.9432291666666667,0.008818555838873685,0.9144083849211645,0.009454162309075533,0.9844843142233936,0.000600895575625048,0.8240650770140732,0.005163855903140027,0.9843261610957357,0.002378771580154773,0.9954166666666666,0.0014433756729740337,0.9250366591929815,0.015338401551303305,0.8245833333333333,0.026877422371450212,0.9471190945093733,0.008942854511924385,0.7202465623518255,0.05153569268347658,0.8011516248865674,0.011874310269884553,0.7560137457044673,0.010730237110650194,,,,,,,0.04850285156062578,0.004454269355145827,0.868660871060577,0.004571137378554885,0.8272508139893867,0.004187169141524404,0.9851626266486233,0.0012107645014509919,0.6268889040379939,0.013732023985374707,0.10083859332403151,0.004829649957968949,0.721474328804181,0.02184077191644373,0.6615563044974915,0.016962537972967033,0.8793985304022668,0.011103527086127905,0.637998188405797,0.0479281375820686
RACE+Creator,3,0.9458333333333333,0.004944351785960792,0.9175477161248525,0.006583472190907428,0.9846237358155009,0.0007948337140260837,0.826446361751062,0.017695241162625056,0.9829989220799598,0.0045679035959684845,0.995,0.0,0.9311607348254667,0.006273906804619018,0.8495833333333334,0.011203608049790644,0.9508000264591878,0.005084171965468698,0.6948790896159317,0.07058472841486824,0.8052311811347956,0.013451867324723695,0.7663230240549829,0.01656984666837278,0.00402132750188566,0.0001254788924636855,0.8348320728068929,0.005457262291986242,0.7629628445739249,0.0035498518832341457,,,,,,,,,,,,,,,,,,,,
RACE+Creator (no fusion),3,0.944375,0.0035493177161251784,0.912615684672086,0.003632586269172386,0.9840617766063309,0.0023932010476816834,0.8081115833345554,0.02388638471490295,0.9845029893401867,0.0029017548612217505,0.9941666666666666,0.0007216878364870169,0.9318663363767544,0.006718340724491798,0.8579166666666667,0.014049762750072784,0.9480387057099517,0.0037573343755149206,0.6277856804172594,0.109156622080897,0.7860547072614509,0.009149846910288612,0.7525773195876289,0.008928096946231295,0.003997911109495831,0.0002149031119081399,0.8366328558009549,0.007540927865957312,0.7638119792699467,0.0038655198277345176,,,,,,,,,,,,,,,,,,,,
RACE+Creator+Editor,3,0.9408333333333333,0.006602063282287816,0.9075851758335926,0.011878410715390041,0.9847793640734369,0.001206515547496552,0.8102959716702595,0.021270496741839666,0.981939694651562,0.004447357707692459,0.9933333333333333,0.0019094065395649533,0.9253134741408127,0.011719071367155547,0.8229166666666666,0.024822285014344116,0.9457593711052661,0.004113922037864997,0.6723565670934092,0.07981192486435075,0.7773281634367294,0.0312760159203335,0.7525773195876289,0.0,0.004812022143027331,0.0014193561646323237,0.80798004318935,0.04906578585734463,0.756229959959392,0.009343067892308703,0.065297181367152,0.03268116122694173,0.8130588640182329,0.09620615064314582,0.7925055529101218,0.05732700951670926,0.9676284621119203,0.031214358836376466,0.4955575249392142,0.2009018645242906,0.22862255946385854,0.20763560398780342,0.7333008881063869,0.029485096187545606,0.6920711477002819,0.01100426221171824,0.9005845439659979,0.007892769004566333,0.5753170289855072,0.1320104341926938
"Full structure, lambda=0",3,0.9442708333333333,0.002345485468582832,0.9139745241615564,0.0033399303138101737,0.9856622086691725,0.0007956112919116191,0.8276174122440401,0.006775751921672728,0.985810661773399,0.0016393253575940152,0.9945833333333334,0.0007216878364870169,0.930864021996733,0.006287231528799898,0.8495833333333334,0.02009093908540202,0.9470431201686504,0.0012965930073181554,0.7102892366050261,0.039665976173235425,0.7921802927074432,0.006167135164849269,0.7560137457044673,0.0029760323154104313,0.3835510757509052,0.08402532300575402,0.3518756700894337,0.3002734463921469,0.415380840630019,0.4498402656258429,146.01375324129842,115.01020954700377,-0.35410484311438745,0.5562277189094522,-0.3805709223449631,0.5738142566919331,0.26728312770436785,0.3480880550514561,0.004158429340786693,0.007202610897927705,67.75907537740986,70.59278592589614,0.16251346588218832,0.2010050799428561,0.17060276742834543,0.20667806182819684,0.595228783444816,0.11895148945063973,0.016394927536231885,0.020767312292292922
