accuracy_mean,accuracy_std,auroc_macro_mean,auroc_macro_std,auroc_micro_mean,auroc_micro_std,bucket,count_class_0,count_class_1,count_class_2,count_class_3,documents,f1_class_0_mean,f1_class_0_std,f1_class_1_mean,f1_class_1_std,f1_class_2_mean,f1_class_2_std,f1_class_3_mean,f1_class_3_std,f1_macro_mean,f1_macro_std,f1_micro_mean,f1_micro_std,method,precision_class_0_mean,precision_class_0_std,precision_class_1_mean,precision_class_1_std,precision_class_2_mean,precision_class_2_std,precision_class_3_mean,precision_class_3_std,precision_macro_mean,precision_macro_std,precision_micro_mean,precision_micro_std,recall_class_0_mean,recall_class_0_std,recall_class_1_mean,recall_class_1_std,recall_class_2_mean,recall_class_2_std,recall_class_3_mean,recall_class_3_std,recall_macro_mean,recall_macro_std,recall_micro_mean,recall_micro_std,tpr_at_1_fpr_class_0_mean,tpr_at_1_fpr_class_0_std,tpr_at_1_fpr_class_1_mean,tpr_at_1_fpr_class_1_std,tpr_at_1_fpr_class_2_mean,tpr_at_1_fpr_class_2_std,tpr_at_1_fpr_class_3_mean,tpr_at_1_fpr_class_3_std,tpr_at_1_fpr_macro_mean,tpr_at_1_fpr_macro_std,tpr_at_1_fpr_micro_mean,tpr_at_1_fpr_micro_std,tpr_at_1_fpr_mixed_avg_mean,tpr_at_1_fpr_mixed_avg_std,tpr_at_5_fpr_class_0_mean,tpr_at_5_fpr_class_0_std,tpr_at_5_fpr_class_1_mean,tpr_at_5_fpr_class_1_std,tpr_at_5_fpr_class_2_mean,tpr_at_5_fpr_class_2_std,tpr_at_5_fpr_class_3_mean,tpr_at_5_fpr_class_3_std,tpr_at_5_fpr_macro_mean,tpr_at_5_fpr_macro_std,tpr_at_5_fpr_micro_mean,tpr_at_5_fpr_micro_std,tpr_at_5_fpr_mixed_avg_mean,tpr_at_5_fpr_mixed_avg_std
0.8514173998044966,0.004479546133876673,0.9642067829304805,0.0015548670681075744,0.9713581754542874,0.0008080904617220116,0–200,87,91,149,14,341,0.9049389567147613,0.02116771068145346,0.7889513854322217,0.017718658054141717,0.8811261668404525,0.012691148701959499,0.6398601398601399,0.12237762237762238,0.8037191622118939,0.02332872357559943,0.8514173998044966,0.004479546133876673,Strong RACE,0.954199514105806,0.016525401424518856,0.7233780169077128,0.029723726092442677,0.8998734656208318,0.004588811568123354,0.7833333333333333,0.20207259421636903,0.8401960824919209,0.0463164796908895,0.8514173998044966,0.004479546133876673,0.8620689655172414,0.050102286707364066,0.8681318681318682,0.0,0.8635346756152126,0.027941825496189707,0.5476190476190477,0.10910894511799622,0.7853386392208423,0.023317421865617027,0.8514173998044966,0.004479546133876673,0.8199233716475096,0.01327241998137069,0.4468864468864469,0.02765507119146793,0.39373601789709173,0.09259150821733723,0.5476190476190477,0.10910894511799622,0.552041221012524,0.049163388963559464,0.64613880742913,0.006104592373800971,0.49725274725274726,0.05911383184436818,0.9616858237547893,0.006636209990685409,0.7582417582417582,0.04789998839055685,0.825503355704698,0.04400965452551677,0.6904761904761905,0.041239304942116105,0.808976782044359,0.01655358922234124,0.8533724340175953,0.0058651026392961825,0.7243589743589743,0.03984305845752212
0.9363459669582119,0.009895729764050695,0.9822382398416108,0.00218374828392827,0.9873405213813973,0.0008580005119017031,200–400,329,349,591,103,1372,0.9852726903855502,0.0008549524958461447,0.9283930732609645,0.013146164339991873,0.9380826167649366,0.012435865364552623,0.7829059636726412,0.01602608304985502,0.9086635860210233,0.010053419530493572,0.9363459669582119,0.009895729764050695,Strong RACE,0.9877891872403572,0.0029976155846065523,0.9069713923964001,0.028306850518201247,0.9345510204823834,0.0017333112701801929,0.8796922986061895,0.032720936120026085,0.9272509746813326,0.01481396714912129,0.9363459669582119,0.009895729764050695,0.9827760891590679,0.001754864040090032,0.9512893982808023,0.007580949315371305,0.9419063733784546,0.026012075708065883,0.7055016181229774,0.0056053424193167525,0.8953683697353255,0.006245097660802386,0.9363459669582119,0.009895729764050695,0.9929078014184397,0.0046429338348083675,0.8223495702005731,0.04548569589222789,0.6130851663846588,0.023949096159686538,0.7249190938511327,0.02242136967726701,0.7883154079637011,0.024009098456781754,0.8673469387755103,0.018395669772775444,0.7736343320258529,0.03381795061323643,1.0,0.0,0.9703915950334289,0.0072109211416148886,0.9486745628877609,0.01711674101014497,0.8058252427184466,0.016816027257950256,0.9312228501599091,0.004947158378816812,0.967201166180758,0.0031770400463124494,0.8881084188759377,0.0059170310229552684
0.9546891464699684,0.0,0.9858454070081972,0.0005975570949183852,0.9913148738083422,0.0008490850911555003,400–600,248,214,432,55,949,0.9939393939393939,0.0,0.9388502287822045,0.0031084451423615198,0.9572859725182575,0.00041669630532765295,0.7956060862270763,0.012951220886315897,0.9214204203667331,0.0025609220071624614,0.9546891464699684,0.0,Strong RACE,0.9959514170040485,0.0,0.9220990210048047,0.012112062934140898,0.9465076759791128,0.006215456612947881,0.973672052619421,0.0006930806746147492,0.9595575416518468,0.0013564295944188762,0.9546891464699684,0.0,0.9919354838709677,0.0,0.956386292834891,0.009727411212458573,0.9683641975308642,0.005825489533387979,0.6727272727272727,0.018181818181818188,0.897353311740999,0.004424881527448215,0.9546891464699684,0.0,1.0,0.0,0.8084112149532711,0.10119816741919496,0.5941358024691358,0.054843690259002674,0.7515151515151516,0.010497277621629563,0.7885155422343896,0.013103896812083703,0.9227256761503337,0.01915181718330254,0.7799631832342112,0.05331698400351913,1.0,0.0,0.9875389408099688,0.0071379683722053834,0.970679012345679,0.007071876072462747,0.7757575757575758,0.03784847271756606,0.933493882228306,0.01253512392042729,0.9789251844046365,0.004828846886149464,0.8816482582837724,0.022003334432688752
0.983947119924457,0.0058970708200173525,0.9979087194820145,0.00026405517325931577,0.9984359966865243,0.00047877382706122207,600–800,87,99,151,16,353,1.0,0.0,0.9880690737833595,0.0029909825562413513,0.9814062908261761,0.006890650336901691,0.8950146627565982,0.043016084269212884,0.9661225068415334,0.013173900676392878,0.983947119924457,0.0058970708200173525,Strong RACE,1.0,0.0,1.0,0.0,0.9718465946169931,0.003920814880568589,0.918954248366013,0.08910968348838832,0.9727002107457515,0.02319668780072882,0.983947119924457,0.0058970708200173525,1.0,0.0,0.9764309764309764,0.005831820900905284,0.9911699779249448,0.01011606113676785,0.875,0.0,0.9606502385889802,0.003935694075210861,0.983947119924457,0.0058970708200173525,1.0,0.0,0.9966329966329966,0.005831820900905284,0.9690949227373068,0.03333260236322627,0.8958333333333334,0.03608439182435161,0.9653903131759092,0.01758182558905581,0.9886685552407932,0.007495046206981849,0.946233164983165,0.01966298031067058,1.0,0.0,1.0,0.0,1.0,0.0,0.9375,0.0,0.984375,0.0,0.9971671388101983,0.0,0.96875,0.0
0.981981981981982,0.008256893144064553,0.999515116591396,0.0005099573900189472,0.9995162730297865,0.0003719321236065116,800+,49,47,83,6,185,0.9791666666666666,0.0,0.9685618800419196,0.010868916808673919,0.9920626382164843,0.009023326065143862,0.9696969696969697,0.05248638810814781,0.97737203865551,0.01776802707409054,0.981981981981982,0.008256893144064553,Strong RACE,1.0,0.0,0.9522101606600086,0.010609910107001441,0.9883720930232558,0.020140125669405522,1.0,0.0,0.9851455634208162,0.004579308710294266,0.981981981981982,0.008256893144064553,0.9591836734693877,0.0,0.9858156028368794,0.024568096561260643,0.9959839357429718,0.006956027339634068,0.9444444444444444,0.0962250448649376,0.9713569141234208,0.029367423424772804,0.981981981981982,0.008256893144064553,1.0,0.0,0.9787234042553191,0.036852144841891,0.9919678714859438,0.006956027339634068,0.9444444444444444,0.0962250448649376,0.9787839300464268,0.034172003623671364,0.990990990990991,0.011252248645762889,0.9615839243498818,0.06653859485341426,1.0,0.0,1.0,0.0,0.9959839357429718,0.006956027339634068,1.0,0.0,0.998995983935743,0.001739006834908533,1.0,0.0,1.0,0.0
0.8768328445747801,0.017838013285332008,0.9624035987994446,0.0076848529646913665,0.9715841605918231,0.005852211863535475,0–200,87,91,149,14,341,0.9218973117278202,0.016577108743504872,0.8175175479286667,0.019005749271114016,0.903612214577975,0.012313071359375335,0.6790909090909091,0.10375989447989688,0.8305294958313428,0.037491192009717574,0.8768328445747801,0.017838013285332008,Single Trace,0.9372377797852053,0.014526262502049204,0.7982800137598899,0.01319066855959437,0.8973983723854058,0.031074820147561,0.8454545454545455,0.18785434836156203,0.8695926778462616,0.05382093952727464,0.8768328445747801,0.017838013285332008,0.9080459770114943,0.041443118108781436,0.8388278388278388,0.044411559168432764,0.9105145413870246,0.01025184719229493,0.5714285714285714,0.07142857142857145,0.8072042321637323,0.03295821590757612,0.8768328445747801,0.017838013285332008,0.8160919540229885,0.0,0.3846153846153846,0.12673145708429445,0.5592841163310962,0.08759182080739104,0.5714285714285714,0.07142857142857145,0.5828550065995102,0.027528610552027044,0.6109481915933529,0.0960307949717235,0.478021978021978,0.08516483516483515,0.9655172413793104,0.01149425287356326,0.7985347985347986,0.025378033810532975,0.8478747203579419,0.060153600267332234,0.6666666666666667,0.041239304942116105,0.8196483567346793,0.024929918674530326,0.8944281524926686,0.02114692830184156,0.7326007326007327,0.029117423251986477
0.9414480077745384,0.0008416184682064799,0.9836797180894568,0.0005455513829521584,0.9879425062403138,0.001188530080366952,200–400,329,349,591,103,1372,0.9862948099873473,0.0016032548240273799,0.9339721899673613,0.001699836583079294,0.9437791013963568,0.0035046677092308094,0.7971047458271215,0.004418180173018044,0.9152877117945467,0.0010451185372489663,0.9414480077745384,0.0008416184682064799,Single Trace,0.9878495862544943,0.005081514081683762,0.9293395476420218,0.01308304859281007,0.931493662633519,0.009224718671346412,0.8867794952195266,0.03162458807986734,0.9338655729373904,0.007216597325651136,0.9414480077745384,0.0008416184682064799,0.9848024316109423,0.008041797298068696,0.938872970391595,0.011929318048516496,0.9565707839819515,0.013676656122935296,0.7249190938511327,0.024433121149743515,0.9012913199589054,0.005835902692484599,0.9414480077745384,0.0008416184682064799,1.0,0.0,0.8662846227316141,0.03847800779079977,0.6350817822899041,0.08428592822661092,0.7475728155339806,0.01941747572815533,0.8122348051388747,0.013596616427964916,0.8843537414965986,0.032606606549674635,0.8069287191327974,0.02849794775043901,1.0,0.0,0.9713467048710601,0.0028653295128940326,0.958262831359278,0.0025846450620167815,0.8155339805825242,0.009708737864077666,0.9362858792032156,0.002207789441205981,0.9698736637512148,0.003595395672242183,0.8934403427267922,0.0057071980267406515
0.9564453811029153,0.00643846251486598,0.9853544220811344,0.0013375562211765057,0.9904019649100989,0.0015885214638424443,400–600,248,214,432,55,949,0.9959650211467567,0.0020242681843640415,0.9389739647650647,0.01727356038855989,0.9578488404792692,0.006075078160630615,0.8123345636096585,0.01838823126230202,0.9262805975001872,0.006009650171254663,0.9564453811029153,0.00643846251486598,Single Trace,0.9959676982275014,1.625941352205293e-05,0.9511202609613538,0.013785719499475386,0.9362696993264114,0.018169233315780887,0.9757936507936508,0.023819442378506247,0.9647878273272293,0.00681290451533668,0.9564453811029153,0.00643846251486598,0.9959677419354839,0.0040322580645161255,0.9283489096573209,0.045385676898235125,0.98070987654321,0.00935521269520228,0.696969696969697,0.03784847271756606,0.9004990562764279,0.009796103707670563,0.9564453811029153,0.00643846251486598,1.0,0.0,0.8800623052959502,0.014275936744410718,0.7137345679012346,0.04596719447100766,0.7636363636363637,0.018181818181818188,0.839358309208387,0.01647422902432158,0.9367755532139094,0.011151744198375503,0.8218493344661569,0.014783673014056267,1.0,0.0,0.985981308411215,0.014018691588785048,0.9807098765432098,0.002672917912914946,0.806060606060606,0.045756572334974197,0.9431879477537577,0.010291385357752054,0.9789251844046365,0.0027879360495938863,0.8960209572359105,0.021097494060187908
0.9811142587346553,0.013387579677769434,0.9976261609723963,0.001825963107629409,0.997169368005343,0.0018397265939705102,600–800,87,99,151,16,353,1.0,0.0,0.9808715043591575,0.020062971490538033,0.9793483335761162,0.015943132668186814,0.8968954248366013,0.031769597380173424,0.9642788156929688,0.014689754289695251,0.9811142587346553,0.013387579677769434,Single Trace,1.0,0.0,1.0,0.0,0.9678622655392981,0.021812766807334065,0.9027777777777778,0.08673608331108885,0.967660010829269,0.025776151258374097,0.9811142587346553,0.013387579677769434,1.0,0.0,0.962962962962963,0.03824180704242607,0.9911699779249448,0.01011606113676785,0.8958333333333334,0.03608439182435161,0.9624915685553103,0.0035306809743900873,0.9811142587346553,0.013387579677769434,1.0,0.0,0.9797979797979798,0.02020202020202022,0.9801324503311258,0.02886688042079918,0.9375,0.0,0.9743576075322764,0.012020098043326344,0.983947119924457,0.018212749312545677,0.9586489898989898,0.01010101010101011,1.0,0.0,0.9865319865319866,0.015429547794464097,0.9977924944812362,0.0038235117164876074,0.9375,0.0,0.9804561202533058,0.004770877570630413,0.9924457034938621,0.005897070820017371,0.9620159932659933,0.0077147738972320554
0.981981981981982,0.013603305288776155,0.9995485139989592,0.00025828472861684834,0.9984676568460352,0.0010890073861403583,800+,49,47,83,6,185,0.993127147766323,0.0059520646308208625,0.9742558643800512,0.026358037126812006,0.9822371236981025,0.017450720615120128,0.9523809523809523,0.08247860988423228,0.9755002720563573,0.01888323014705562,0.981981981981982,0.013603305288776155,Single Trace,1.0,0.0,0.986111111111111,0.012028130608117225,0.9775280898876404,0.03892249005772761,0.9166666666666666,0.14433756729740643,0.9700764669163545,0.033236626527220876,0.981981981981982,0.013603305288776155,0.9863945578231292,0.011782658554890335,0.9645390070921985,0.0614202414031517,0.9879518072289156,0.02086808201890214,1.0,0.0,0.9847213430360608,0.014354794650073352,0.981981981981982,0.013603305288776155,0.9931972789115646,0.011782658554890335,0.9645390070921985,0.0614202414031517,0.9919678714859438,0.013912054679268072,1.0,0.0,0.9874260393724268,0.012151969702305419,0.9801801801801802,0.020464534579460465,0.9822695035460993,0.03071012070157585,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9945945945945946,0.005405405405405406,1.0,0.0
