accuracy,auroc_macro,auroc_micro,bucket,count_class_0,count_class_1,count_class_2,count_class_3,documents,f1_class_0,f1_class_1,f1_class_2,f1_class_3,f1_macro,f1_micro,method,precision_class_0,precision_class_1,precision_class_2,precision_class_3,precision_macro,precision_micro,recall_class_0,recall_class_1,recall_class_2,recall_class_3,recall_macro,recall_micro,seed,tpr_at_1_fpr_class_0,tpr_at_1_fpr_class_1,tpr_at_1_fpr_class_2,tpr_at_1_fpr_class_3,tpr_at_1_fpr_macro,tpr_at_1_fpr_micro,tpr_at_1_fpr_mixed_avg,tpr_at_5_fpr_class_0,tpr_at_5_fpr_class_1,tpr_at_5_fpr_class_2,tpr_at_5_fpr_class_3,tpr_at_5_fpr_macro,tpr_at_5_fpr_micro,tpr_at_5_fpr_mixed_avg
0.8504398826979472,0.9656460507348048,0.9712306109051922,0–200,87,91,149,14,341,0.9176470588235294,0.79,0.8671328671328671,0.6923076923076923,0.8167719045660222,0.8504398826979472,Strong RACE,0.9397590361445783,0.7247706422018348,0.9051094890510949,0.75,0.829909791849377,0.8504398826979472,0.896551724137931,0.8681318681318682,0.8322147651006712,0.6428571428571429,0.8099388750569033,0.8504398826979472,42,0.8045977011494253,0.4725274725274725,0.46308724832214765,0.6428571428571429,0.5957673912140471,0.6480938416422287,0.5576923076923077,0.9540229885057471,0.7362637362637363,0.785234899328859,0.7142857142857143,0.7974518345960142,0.8533724340175953,0.7252747252747254
0.9249271137026239,0.9809366097444863,0.9882901150881012,200–400,329,349,591,103,1372,0.9848024316109423,0.9138166894664843,0.9237360754070265,0.7659574468085106,0.897078160823241,0.9249271137026239,Strong RACE,0.9848024316109423,0.8743455497382199,0.9357638888888888,0.8470588235294118,0.9104926734418657,0.9249271137026239,0.9848024316109423,0.9570200573065902,0.9120135363790186,0.6990291262135923,0.8882162878775358,0.9249271137026239,42,0.9878419452887538,0.7707736389684814,0.5854483925549916,0.6990291262135923,0.7607732757564548,0.8469387755102041,0.7349013825910369,1.0,0.9627507163323782,0.9289340101522843,0.8155339805825242,0.9268046767667967,0.9635568513119533,0.8891423484574512
0.9546891464699684,0.9856653959737252,0.9922307436922678,400–600,248,214,432,55,949,0.9939393939393939,0.9387755102040817,0.9574223245109321,0.7956989247311828,0.9214590383463976,0.9546891464699684,Strong RACE,0.9959514170040485,0.9118942731277533,0.9519450800915332,0.9736842105263158,0.9583687451874128,0.9546891464699684,0.9919354838709677,0.9672897196261683,0.9629629629629629,0.6727272727272727,0.8987288597968429,0.9546891464699684,42,1.0,0.6915887850467289,0.6574074074074074,0.7454545454545455,0.7736126844771705,0.9072708113804004,0.7185216652506372,1.0,0.985981308411215,0.9629629629629629,0.7454545454545455,0.9235997042071808,0.9736564805057956,0.8657179269328803
0.9858356940509915,0.9981595269263295,0.9989620867406581,600–800,87,99,151,16,353,1.0,0.9897959183673469,0.9836065573770492,0.9032258064516129,0.9691570705490022,0.9858356940509915,Strong RACE,1.0,1.0,0.974025974025974,0.9333333333333333,0.9768398268398268,0.9858356940509915,1.0,0.9797979797979798,0.9933774834437086,0.875,0.962043865810422,0.9858356940509915,42,1.0,0.98989898989899,0.9337748344370861,0.875,0.9496684560840191,0.9915014164305949,0.932449494949495,1.0,1.0,1.0,0.9375,0.984375,0.9971671388101983,0.96875
0.9837837837837838,0.9995620234652491,0.9994351107864621,800+,49,47,83,6,185,0.9791666666666666,0.9690721649484536,0.9939393939393939,1.0,0.9855445563886285,0.9837837837837838,Strong RACE,1.0,0.94,1.0,1.0,0.985,0.9837837837837838,0.9591836734693877,1.0,0.9879518072289156,1.0,0.9867838701745758,0.9837837837837838,42,1.0,1.0,0.9879518072289156,1.0,0.9969879518072289,0.9945945945945946,1.0,1.0,1.0,0.9879518072289156,1.0,0.9969879518072289,1.0,1.0
0.8475073313782991,0.9644166611261751,0.9722224611071456,0–200,87,91,149,14,341,0.8805031446540881,0.7707317073170732,0.8918918918918919,0.7272727272727273,0.8175998677839451,0.8475073313782991,Strong RACE,0.9722222222222222,0.6929824561403509,0.8979591836734694,1.0,0.8907909655090106,0.8475073313782991,0.8045977011494253,0.8681318681318682,0.8859060402684564,0.5714285714285714,0.7825160452445803,0.8475073313782991,2026,0.8275862068965517,0.4175824175824176,0.42953020134228187,0.5714285714285714,0.5615318493124557,0.6392961876832844,0.4945054945054945,0.9655172413793104,0.7252747252747253,0.87248322147651,0.6428571428571429,0.8015330827469221,0.8475073313782991,0.6840659340659341
0.9416909620991254,0.9810187405087778,0.9871104053866444,200–400,329,349,591,103,1372,0.9847560975609756,0.9320113314447592,0.9457881567973311,0.7978142076502732,0.9150924483633348,0.9416909620991254,Strong RACE,0.9877675840978594,0.9215686274509803,0.9325657894736842,0.9125,0.938600500255631,0.9416909620991254,0.9817629179331308,0.9426934097421203,0.9593908629441624,0.7087378640776699,0.8981462636742709,0.9416909620991254,2026,0.993920972644377,0.839541547277937,0.626057529610829,0.7378640776699029,0.7993460318007616,0.8724489795918368,0.7887028124739199,1.0,0.9713467048710601,0.9593908629441624,0.8155339805825242,0.9365678870994367,0.9686588921282799,0.8934403427267922
0.9546891464699684,0.9865122760294691,0.9905539004879336,400–600,248,214,432,55,949,0.9939393939393939,0.9419953596287703,0.9568181818181818,0.782608695652174,0.9188404077596299,0.9546891464699684,Strong RACE,0.9959514170040485,0.9354838709677419,0.9397321428571429,0.972972972972973,0.9610351009504765,0.9546891464699684,0.9919354838709677,0.9485981308411215,0.9745370370370371,0.6545454545454545,0.8924040265736453,0.9546891464699684,2026,1.0,0.8691588785046729,0.5601851851851852,0.7454545454545455,0.793699652286101,0.916754478398314,0.8073067119796091,1.0,0.9813084112149533,0.9722222222222222,0.7636363636363637,0.9292917492683848,0.9799789251844047,0.8724723874256585
0.9886685552407932,0.9976331596613057,0.9983200785390032,600–800,87,99,151,16,353,1.0,0.9897959183673469,0.9869281045751634,0.9333333333333333,0.9775143390689609,0.9886685552407932,Strong RACE,1.0,1.0,0.9741935483870968,1.0,0.9935483870967742,0.9886685552407932,1.0,0.9797979797979798,1.0,0.875,0.9636994949494949,0.9886685552407932,2026,1.0,1.0,1.0,0.9375,0.984375,0.9943342776203966,0.96875,1.0,1.0,1.0,0.9375,0.984375,0.9971671388101983,0.96875
0.972972972972973,0.9989833263089389,0.999191624056489,800+,49,47,83,6,185,0.9791666666666666,0.9574468085106383,0.9822485207100592,0.9090909090909091,0.9569882262445684,0.972972972972973,Strong RACE,1.0,0.9574468085106383,0.9651162790697675,1.0,0.9806407718951015,0.972972972972973,0.9591836734693877,0.9574468085106383,1.0,0.8333333333333334,0.9374909538283399,0.972972972972973,2026,1.0,0.9361702127659575,0.9879518072289156,0.8333333333333334,0.9393638383320516,0.9783783783783784,0.8847517730496455,1.0,1.0,1.0,1.0,1.0,1.0,1.0
